address,chain,source,name,entity_type
0x58D97B57BB95320F9a05dC918Aef65434969c2B2,ethereum,defillama,Morpho Blue,defi
0x56072c95faa701256059aa122697b133aded9279,ethereum,defillama,Sky Lending,defi
0xec53bf9167f50cdeb3ae105f56099aaab9061f83,ethereum,defillama,EigenCloud,defi
0x0d01dc56dcaaca66ad901c959b4011ec,ethereum,defillama,Hyperliquid Bridge,defi
0xe66747a101bff2dba3697199dcce5b743b454759,ethereum,defillama,Gate,defi
0x57e114b691db790c35207b2e685d4a43181e6061,ethereum,defillama,Ethena USDe,defi
0xc20059e0317de91738d13af027dfc4a50781b066,ethereum,defillama,SparkLend,defi
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,ethereum,defillama,ether.fi Stake,defi
0x7712c34205737192402172409a8f7ccef8aa2aec,ethereum,defillama,BlackRock BUIDL,defi
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,ethereum,defillama,Ondo Yield Assets,defi
0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,ethereum,defillama,Polygon Bridge,defi
0xc20059e0317de91738d13af027dfc4a50781b066,ethereum,defillama,Spark Liquidity Layer,defi
0xc20059e0317de91738d13af027dfc4a50781b066,ethereum,defillama,Spark Savings,defi
0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,ethereum,defillama,Maple,defi
0xfa1c09fc8b491b6a4d3ff53a10cad29381b3f949,ethereum,defillama,Falcon Finance,defi
0xcccccccccc33d538dbc2ee4feab0a7a1ff4e8a94,ethereum,defillama,Centrifuge Protocol,defi
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,ethereum,defillama,Ondo Global Markets,defi
0x57e114b691db790c35207b2e685d4a43181e6061,ethereum,defillama,Ethena USDtb,defi
0x64d0f55cd8c7133a9d7102b13987235f486f2224,ethereum,defillama,SwissBorg,defi
0x0b010000b7624eb9b3dfbc279673c76e9d29d5f7,ethereum,defillama,Obol,defi
0xf0db65d17e30a966c2ae6a21f6bba71cea6e9754,ethereum,defillama,Lombard LBTC,defi
0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,ethereum,defillama,Convex Finance,defi
0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,ethereum,defillama,mETH Protocol,defi
0x5983B89FA184f14917013B9C3062afD9434C5b03,ethereum,defillama,M0,defi
0xcdf7028ceab81fa0c6971208e83fa7872994bee5,ethereum,defillama,tBTC,defi
0xbbb32f99e6f2cb29337eebaa43c5069386de6e6c,ethereum,defillama,Phemex,defi
0x6f40d4a6237c257fff2db00fa0510deeecd303eb,ethereum,defillama,Fluid DEX,defi
0x0Ae055097C6d159879521C384F1D2123D1f195e6,ethereum,defillama,xDAI Stake Bridge,defi
0xf0db65d17e30a966c2ae6a21f6bba71cea6e9754,ethereum,defillama,Lombard BTC.b,defi
0x1b66474c8eca3827f16202907f41f63785579716,ethereum,defillama,WEEX,defi
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,ethereum,defillama,ether.fi Liquid,defi
0x3c3a81e81dc49a522a592e7622a7e711c06bf354,ethereum,defillama,Mantle Bridge,defi
0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f,ethereum,defillama,CoinEx,defi
0xbf3f63d8ac133b16d7d50c015036b33219dd8d23,ethereum,defillama,KPK,defi
