address,chain,source,name,label_type,label_subtype,project,entity_type,entity_types
0x0652B4b3D205300f9848f0431296D67cA4397f3b,solana,solana_defi,angle: cvxcrvfrax-eur-vault,defi,pool,angle,defi,
0x0B3AF9fb0DE42AE70432ABc5aaEaB8F9774bf87b,solana,solana_defi,angle: cvx3crv-eur-vault,defi,pool,angle,defi,
0x1beCE8193f8Dc2b170135Da9F1fA8b81C7aD18b1,solana,solana_defi,angle: weth-eur-vault,defi,pool,angle,defi,
0x241D7598BD1eb819c0E9dEd456AcB24acA623679,solana,solana_defi,angle: wbtc-eur-vault,defi,pool,angle,defi,
0x29e9D3D8e295E23B1B39DCD3D8D595761E032306,solana,solana_defi,angle: sd3crv-eur-vault,defi,pool,angle,defi,
0x73aaf8694BA137a7537E7EF544fcf5E2475f227B,solana,solana_defi,angle: wsteth-eur-vault,defi,pool,angle,defi,
0x8E2277929B2D849c0c344043D9B9507982e6aDd0,solana,solana_defi,angle: lusd-eur-vault,defi,pool,angle,defi,
0x913E8e1eD659C27613E937a6B6119b91D985094c,solana,solana_defi,angle: bib01-eur-vault,defi,pool,angle,defi,
0x96de5c30F2BF4683c7903F3e921F720602F8868A,solana,solana_defi,angle: usdc-eur-vault,defi,pool,angle,defi,
0x989ed2DDCD4D2DC237CE014432aEb40EfE738E31,solana,solana_defi,angle: cvxcrvlusd3crv-eur-vault,defi,pool,angle,defi,
0x9FFC8A23eafc25635DAe822eA9c4fF440226a001,solana,solana_defi,angle: bhigh-eur-vault,defi,pool,angle,defi,
0xE1C084e6E2eC9D32ec098e102a73C4C27Eb9Ee58,solana,solana_defi,angle: cbeth-eur-vault,defi,pool,angle,defi,
0xca2d7991a2F6Fdf542046E4F1Dc2FD7d59C3DEc1,solana,solana_defi,angle: wsteth-usd-vault,defi,pool,angle,defi,
0xdEeE8e8a89338241fe622509414Ff535fB02B479,solana,solana_defi,angle: sdcrvfrax-eur-vault,defi,pool,angle,defi,
0xe0C8B6c4ea301C8A221E8838ca5B80Ac76E7A10b,solana,solana_defi,angle: sdcrvlusd3crv-eur-vault,defi,pool,angle,defi,
11ZZ4etoPBaCG4BrCVVkjafgwhBR2Z4ULNN8VqDgaFm,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
11surcNFNz4JTJpBk9kyHX1EMbKnAiZ8apvZsH1enSw,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
121ZRhT2qUbdpU6pauBKQXBezX1nnsLcuXzAHtFh4fKt,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
121e2cD4PefjStVxuJJGgznc9y3CkAfnRPyvFXmDhT6o,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
121wdTSe9TwwRwM6pygVL9AnaFMj3zdfh9Uu8rnCo8eA,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
124CMbiHeJFeC7oE6JYYfaf47P6fthDT34qekTGZy2yR,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
124yEuk9gmYz5gm4rQCxMgc85JqF9kJgfJRiENKDxphG,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
125PmfKqG7hUrfqhdFFrHnGq7W2qk4PEkF1NozkiUg4g,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
125jFMXE1tLt3maRMU18zW9x6UadevtRCKrpCGfkJT6h,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
127GXBVin4uyNz3FSb9FJZ5aBm7tC1Hh19zj4ByfDLiH,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
