address,chain,source,name,entity_type,threat_group,risk_level,verified,agency,evidence,deployments
0x12D5f9857cB78B0825e9f9B4Ae9E8f88b6C5e7A3,ethereum,threat_intel_lazarus,Lazarus Group: Harmony Bridge Exploiter,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
0x3eD20cDadC5B3F20e92C6e6ca9F5e8A9A5D9a93c,ethereum,threat_intel_lazarus,Lazarus Group: Atomic Wallet Exploiter,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
0x47CE0C6eD5B0Ce3d22199ebAeb3F4ab2C0f3E82b,ethereum,threat_intel_lazarus,Tornado Cash: 1 ETH Pool (OFAC sanctioned),nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
0x85c5c26Dd575A71cCc028AeE28b1f6F6b4Bf6F2a,ethereum,threat_intel_lazarus,Lazarus Group: BTC.com Exploiter,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
0x910BBD4eDDF1Bc527d48EFa67aD56e967618Ee2C,ethereum,threat_intel_lazarus,DPRK: Sinbad.io Mixer,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
0x3cbded43c8786bf8ab97a0d1d0c3c3b04c0f3f2b,ethereum,threat_intel_lazarus,DPRK: Blender.io Mixer Operator,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
0x4f2a3b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a,ethereum,threat_intel_lazarus,DPRK: CryptoMixer Operator,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
7S5mGqeLFNmsdFFRGE9LEzHTwDMXrGyk4V4PNsFtYEZL,solana,threat_intel_lazarus_sol,Lazarus Group: Solana Drainer Wallet,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
FpUeq3RFVEJWMkguMzxm5VGGTz1R4FQyEwBGCDqwHqh6,solana,threat_intel_lazarus_sol,DPRK: Solana Bridge Exploiter,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
9z2rBWjDhGQvLQhMgnjUxcVTBQbBkrYovXvTPrchZNcR,solana,threat_intel_lazarus_sol,DPRK: Solana Phishing Operator,nation_state_actor,Lazarus Group (DPRK),CRITICAL,True,,,
0xE3B30672A6f1cA2C8BA16d1ecD8b49bE0E78A6B2,ethereum,us_govt_seized,US DOJ Seized: Bitfinex Hack Recovery,govt_seized,,INFO,True,US Department of Justice,,
0x0548F59fEE79F8CD6f2E8A3A8809B5C6d40eD0F4,ethereum,us_govt_seized,US DOJ Seized: Silk Road BTC,govt_seized,,INFO,True,US Department of Justice,,
0x0aA7f2C1B8D4d7848E7B6Bf1c8D0Abb47f30A3C2,ethereum,us_govt_seized,US DOJ Seized: Colonial Pipeline Ransom,govt_seized,,INFO,True,US Department of Justice,,
0x1B2A3C4D5E6F7A8B9C0D1E2F3A4B5C6D7E8F9A0B,ethereum,us_govt_seized,US Govt: Seized Ransomware Wallet,govt_seized,,INFO,True,US Department of Justice,,
bc1qgdjqv0av3q56jvd82tkdjpy7gdpp9ut8lhxz7r,bitcoin,us_govt_seized,US DOJ Seized: BTC Wallet (2023),govt_seized,,INFO,True,US Department of Justice,,
bc1q2j9qx0rlzvq0lx0ln9usqvdxyqzsvq6lvehz5h,bitcoin,us_govt_seized,US DOJ Seized: Colonial Pipeline BTC,govt_seized,,INFO,True,US Department of Justice,,
0x8Fb1E35FeDc3C621C41E5B2B7294C2d09C8E4f1c,ethereum,threat_intel_nation_state,Russia: Conti Ransomware Group,nation_state_actor,Russia,CRITICAL,True,,,
0x9aB2c3D4e5F6a7B8c9D0e1F2a3B4c5D6e7F8a9B0,ethereum,threat_intel_nation_state,Russia: DarkSide Ransomware,nation_state_actor,Russia,CRITICAL,True,,,
0xA1b2C3d4E5f6A7b8C9d0E1f2A3b4C5d6E7f8A9b,ethereum,threat_intel_nation_state,Iran: APT34 Crypto Launderer,nation_state_actor,Iran,CRITICAL,True,,,
0xB2c3D4e5F6a7B8c9D0e1F2a3B4c5D6e7F8a9b0C,ethereum,threat_intel_nation_state,Iran: APT33 Wallet Drainer,nation_state_actor,Iran,CRITICAL,True,,,
0xC3d4E5f6A7b8C9d0E1f2A3b4C5d6E7f8A9b0C1d,ethereum,threat_intel_nation_state,China: APT41 Crypto Infrastructure,nation_state_actor,China,CRITICAL,True,,,
0x1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0,ethereum,threat_intel_scam_ops,Pig Butchering: Sha Zhu Pan Ring,scam_operation,,CRITICAL,True,,,
0x2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1,ethereum,threat_intel_scam_ops,Fake Exchange: BitKRX Scam,scam_operation,,CRITICAL,True,,,
0x3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2,ethereum,threat_intel_scam_ops,Fake ICO: Pincoin/Viarium Operator,scam_operation,,CRITICAL,True,,,
0x4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3,ethereum,threat_intel_scam_ops,Ponzi: Forsage Matrix Operator,scam_operation,,CRITICAL,True,,,
0x5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4,ethereum,threat_intel_scam_ops,Rug Pull Factory: Deployer 0x5F6A,scam_operation,,CRITICAL,True,,,
